koi_disposition,koi_score,koi_fpflag_nt,koi_fpflag_ss,koi_fpflag_co,koi_fpflag_ec,koi_period,koi_period_err1,koi_period_err2,koi_time0bk,koi_time0bk_err1,koi_time0bk_err2,koi_time0,koi_time0_err1,koi_time0_err2,koi_eccen,koi_eccen_err1,koi_eccen_err2,koi_longp,koi_longp_err1,koi_longp_err2,koi_impact,koi_impact_err1,koi_impact_err2,koi_duration,koi_duration_err1,koi_duration_err2,koi_ingress,koi_ingress_err1,koi_ingress_err2,koi_depth,koi_depth_err1,koi_depth_err2,koi_ror,koi_ror_err1,koi_ror_err2,koi_srho,koi_srho_err1,koi_srho_err2,koi_prad,koi_prad_err1,koi_prad_err2,koi_sma,koi_sma_err1,koi_sma_err2,koi_incl,koi_incl_err1,koi_incl_err2,koi_teq,koi_teq_err1,koi_teq_err2,koi_insol,koi_insol_err1,koi_insol_err2,koi_dor,koi_dor_err1,koi_dor_err2,koi_ldm_coeff4,koi_ldm_coeff3,koi_ldm_coeff2,koi_ldm_coeff1,koi_max_sngle_ev,koi_max_mult_ev,koi_model_snr,koi_count,koi_num_transits,koi_tce_plnt_num,koi_bin_oedp_sig,koi_model_dof,koi_model_chisq,koi_steff,koi_steff_err1,koi_steff_err2,koi_slogg,koi_slogg_err1,koi_slogg_err2,koi_smet,koi_smet_err1,koi_smet_err2,koi_srad,koi_srad_err1,koi_srad_err2,koi_smass,koi_smass_err1,koi_smass_err2,koi_sage,koi_sage_err1,koi_sage_err2,ra,dec,koi_kepmag,koi_gmag,koi_rmag,koi_imag,koi_zmag,koi_jmag,koi_hmag,koi_kmag,koi_fwm_stat_sig,koi_fwm_sra,koi_fwm_sra_err,koi_fwm_sdec,koi_fwm_sdec_err,koi_fwm_srao,koi_fwm_srao_err,koi_fwm_sdeco,koi_fwm_sdeco_err,koi_fwm_prao,koi_fwm_prao_err,koi_fwm_pdeco,koi_fwm_pdeco_err,koi_dicco_mra,koi_dicco_mra_err,koi_dicco_mdec,koi_dicco_mdec_err,koi_dicco_msky,koi_dicco_msky_err,koi_dikco_mra,koi_dikco_mra_err,koi_dikco_mdec,koi_dikco_mdec_err,koi_dikco_msky,koi_dikco_msky_err
CONFIRMED,1.0,0,0,0,0,18.45848388,4.882e-05,-4.882e-05,138.1635,0.00223,-0.00223,2454971.163,0.00223,-0.00223,0.0,,,,,,0.832,0.009,-0.588,3.3703,0.0684,-0.0684,,,,535.3,15.0,-15.0,0.024147,0.00044,-0.003137,0.86583,3.35919,-0.08815,2.5,0.21,-0.26,0.1301,,,88.09,,,632.0,,,37.81,9.65,-9.14,25.0,12.1,-12.1,0.0,0.0,0.1914,0.5167,6.3423014,34.93317,41.5,1,73.0,1.0,0.8028,,,5311.0,85.0,-74.0,4.419,0.111,-0.06,0.14,0.15,-0.15,0.948,0.081,-0.099,0.859,0.06,-0.033,,,,289.85913,46.522671,14.516,15.13,14.453,14.253,14.152,13.174,12.736,12.653,0.0,19.3239581,9.4e-06,46.522665,7.9e-05,0.6,0.35,-0.02,0.28,0.00056,0.00018,-4e-05,0.00015,0.01,0.3,0.01,0.35,0.02,0.43,0.05,0.33,0.27,0.36,0.27,0.4
CONFIRMED,0.997,0,0,0,0,66.373298,0.0007009,-0.0007009,174.01595,0.00509,-0.00509,2455007.016,0.00509,-0.00509,0.0,,,,,,0.021,0.411,-0.021,8.559,0.787,-0.787,,,,415.0,31.9,-31.9,0.018689,0.000799,-0.000959,0.94331,0.27353,-0.73561,1.99,0.64,-0.21,0.3237,,,89.98,,,471.0,,,11.59,10.94,-3.51,60.3,17.5,-17.5,0.0,0.0,0.3032,0.3147,4.0710354,9.944483,13.7,1,17.0,1.0,0.79,,,6143.0,164.0,-200.0,4.47,0.056,-0.224,-0.22,0.25,-0.35,0.976,0.315,-0.105,1.027,0.152,-0.124,,,,285.5575,49.33007,15.37,15.801,15.32,15.186,15.124,14.25,13.861,13.826,0.454,19.037134,3.6e-05,49.33001,0.0003,-1.2,1.3,-0.2,1.1,0.00049,0.0005,0.0001,0.00042,-0.01,0.39,0.32,0.33,0.32,0.33,0.0,0.39,0.39,0.33,0.39,0.33
CONFIRMED,0.973,0,0,0,0,10.60052083,8.867e-05,-8.867e-05,132.98523,0.00601,-0.00601,2454965.985,0.00601,-0.00601,0.0,,,,,,0.729,0.235,-0.503,4.509,0.187,-0.187,,,,60.9,4.1,-4.1,0.00769,0.002047,-0.000581,0.33063,0.65357,-0.30282,1.09,0.18,-0.21,0.0948,,,86.66,,,987.0,,,224.28,102.9,-91.98,12.52,6.2,-6.2,0.0,0.0,0.2918,0.3434,3.9997435,13.720245,17.4,1,128.0,1.0,0.0117,,,6035.0,120.0,-132.0,4.212,0.168,-0.112,-0.16,0.15,-0.15,1.303,0.21,-0.257,1.009,0.086,-0.078,,,,280.24945,43.915058,12.405,12.751,12.362,12.257,12.242,11.436,11.178,11.114,0.311,18.683278,2.3e-05,43.91517,0.0002,-0.75,0.9,0.39,0.74,3.4e-05,5.6e-05,-3.3e-05,4.6e-05,0.04,0.89,0.72,0.57,0.72,0.59,0.15,0.86,0.33,0.63,0.36,0.81
CONFIRMED,0.972,0,0,0,0,8.91901228,5.078e-05,-5.078e-05,140.0777,0.00406,-0.00406,2454973.078,0.00406,-0.00406,0.0,,,,,,0.619,0.288,-0.404,4.141,0.12,-0.12,,,,180.6,6.7,-6.7,0.012857,0.002284,-0.000595,0.54873,0.46728,-0.41904,1.84,0.29,-0.36,0.0835,,,87.32,,,1023.0,,,258.92,115.07,-104.47,13.21,5.6,-5.6,0.0,0.0,0.2713,0.3874,4.777101,23.89117,29.6,4,150.0,1.0,0.4957,,,5862.0,105.0,-117.0,4.194,0.182,-0.098,-0.1,0.15,-0.15,1.307,0.209,-0.256,0.973,0.085,-0.071,,,,288.96124,42.265011,13.959,14.389,13.913,13.776,13.717,12.804,12.569,12.516,0.009,19.264108,1.1e-05,42.2651,0.00014,1.01,0.46,0.33,0.49,-0.000182,8.4e-05,-4e-05,9e-05,-0.46,0.19,-0.49,0.25,0.67,0.24,-0.47,0.21,-0.4,0.21,0.62,0.23
CONFIRMED,0.995,0,0,0,0,51.92920654,9.598e-05,-9.598e-05,151.93321,0.0015,-0.0015,2454984.933,0.0015,-0.0015,0.0,,,,,,0.398,0.412,-0.223,5.2637,0.0622,-0.0622,,,,3425.8,48.7,-48.7,0.053923,0.005859,-0.000912,2.78995,0.83497,-0.16167,8.49,1.4,-1.86,0.2742,,,89.69,,,574.0,,,25.6,11.23,-10.82,73.5,22.0,-22.0,0.0,0.0,0.2638,0.4046,19.216328,79.500046,81.8,1,25.0,1.0,0.0427,,,5671.0,85.0,-77.0,4.128,0.196,-0.098,0.14,0.15,-0.15,1.442,0.237,-0.316,1.017,0.093,-0.067,,,,294.96606,42.708569,15.897,16.431,15.842,15.668,15.563,14.668,14.266,14.209,0.004,19.6643978,4.2e-06,42.708648,5.2e-05,-0.22,0.17,0.28,0.19,0.00119,0.0007,-0.0006,0.00085,-0.065,0.078,-0.054,0.077,0.085,0.077,-0.094,0.077,-0.072,0.083,0.118,0.079
CONFIRMED,1.0,0,0,0,0,8.31377304,4.206e-05,-4.206e-05,175.99137,0.00402,-0.00402,2455008.991,0.00402,-0.00402,0.0,,,,,,0.002,0.432,-0.002,2.964,0.125,-0.125,,,,837.4,49.1,-49.1,0.026357,0.001241,-0.000811,2.91336,0.16078,-1.25664,2.74,0.43,-0.13,0.0821,,,89.99,,,886.0,,,145.51,64.54,-23.61,22.0,1.2,-1.2,0.0,0.0,0.2844,0.3661,12.27314,92.30504,19.6,1,157.0,1.0,0.1858,,,5900.0,105.0,-117.0,4.509,0.021,-0.119,0.07,0.15,-0.15,0.951,0.152,-0.045,1.065,0.059,-0.074,,,,292.24902,46.164822,13.704,14.162,13.651,13.508,,12.253,11.969,11.917,0.187,19.4832724,2.3e-06,46.16479,2.5e-05,0.135,0.086,-0.119,0.091,0.0001,7.2e-05,9e-06,7.8e-05,-0.045,0.076,0.02,0.15,0.05,0.1,0.008,0.076,0.02,0.15,0.02,0.13
CONFIRMED,1.0,0,0,0,0,24.66461416,4.062e-05,-4.062e-05,189.02031,0.00112,-0.00112,2455022.02,0.00112,-0.00112,0.0,,,,,,0.8,0.061,-0.567,2.8579,0.0617,-0.0617,,,,2398.8,46.8,-46.8,0.050261,0.00235,-0.005664,2.81619,7.47674,-0.21484,5.34,1.83,-0.84,0.1582,,,88.98,,,567.0,,,24.53,25.78,-9.14,44.9,19.9,-19.9,0.0,0.0,0.1828,0.5324,11.618548,51.427,56.7,3,43.0,2.0,0.5678,,,5188.0,171.0,-155.0,4.4,0.14,-0.26,0.32,0.15,-0.25,0.973,0.333,-0.154,0.868,0.073,-0.06,,,,297.31598,46.023258,15.471,16.26,15.398,15.133,14.977,13.916,13.448,13.372,0.645,19.8210586,6.1e-06,46.023281,6.4e-05,-0.28,0.23,0.08,0.23,0.00027,0.0006,-0.00018,0.00066,0.07,0.1,0.0,0.13,0.07,0.1,0.07,0.12,0.06,0.18,0.09,0.18
CONFIRMED,0.91,0,0,0,0,13.0267964,4.361e-05,-4.361e-05,139.14777,0.00254,-0.00254,2454972.148,0.00254,-0.00254,0.0,,,,,,0.93,0.032,-0.664,0.785,0.106,-0.106,,,,356.6,45.1,-45.1,0.022538,0.011664,-0.004657,17.54038,532.58002,-10.80005,2.08,0.2,-0.18,0.1025,,,89.01,,,643.0,,,40.51,14.47,-10.65,54.0,26.9,-26.9,0.0,0.0,0.1451,0.582,3.0285103,11.733149,11.4,2,100.0,2.0,0.7395,,,5083.0,152.0,-152.0,4.512,0.063,-0.07,0.22,0.2,-0.3,0.844,0.083,-0.074,0.844,0.058,-0.065,,,,297.57712,40.02771,13.336,14.063,13.257,13.025,12.909,11.882,11.457,11.289,0.133,19.838503,1.5e-05,40.02769,0.00018,1.18,0.62,-0.06,0.66,-0.00031,0.00021,-4e-05,0.00022,0.47,0.5,0.08,0.44,0.48,0.49,0.63,0.49,0.02,0.46,0.63,0.49
CONFIRMED,1.0,0,0,0,0,3.00912491,1.464e-05,-1.464e-05,131.62696,0.00448,-0.00448,2454964.627,0.00448,-0.00448,0.0,,,,,,0.009,0.451,-0.009,2.228,0.126,-0.126,,,,191.4,13.2,-13.2,0.012546,0.000658,-0.000496,2.39163,0.09542,-1.15392,1.22,0.16,-0.04,0.041,,,89.95,,,1177.0,,,452.27,150.72,-57.0,10.461,0.417,-0.417,0.0,0.0,0.2602,0.4096,3.6247013,14.820099,16.5,1,447.0,1.0,0.5198,,,5713.0,68.0,-94.0,4.541,0.016,-0.099,0.07,0.15,-0.15,0.893,0.114,-0.03,1.01,0.047,-0.062,,,,291.5481,50.35331,15.273,15.756,15.229,15.066,14.99,14.05,13.676,13.612,0.052,19.436583,2.7e-05,50.35303,0.00025,1.5,0.93,-1.02,0.89,-0.00023,0.00018,0.00018,0.00017,-0.23,0.77,0.03,0.49,0.23,0.77,-0.29,0.75,-0.05,0.48,0.3,0.73
CONFIRMED,0.861,0,0,0,0,82.303914,0.00144,-0.00144,159.0461,0.0162,-0.0162,2454992.046,0.0162,-0.0162,0.0,,,,,,0.859,0.085,-0.606,15.404,0.466,-0.466,,,,737.0,37.2,-37.2,0.028716,0.003718,-0.004266,0.03449,0.19001,-0.00614,4.47,0.65,-0.98,0.3704,,,87.87,,,485.0,,,13.05,5.13,-5.51,23.1,10.6,-10.6,0.0,0.0,0.2286,0.4641,7.0610948,16.528004,22.3,1,17.0,1.0,0.9578,,,5602.0,84.0,-75.0,4.13,0.195,-0.09,0.16,0.15,-0.15,1.425,0.208,-0.312,0.997,0.079,-0.072,,,,289.71201,50.128208,15.654,16.191,15.606,15.424,15.32,14.409,13.998,13.834,0.496,19.31411,2.3e-05,50.12817,0.0002,-0.79,0.8,-0.15,0.71,0.00059,0.00059,5e-05,0.00053,0.27,0.2,-0.24,0.41,0.37,0.31,0.22,0.19,-0.19,0.41,0.29,0.3
CANDIDATE,0.79,0,0,0,0,7.23524221,4.586e-05,-4.586e-05,135.23173,0.00519,-0.00519,2454968.232,0.00519,-0.00519,0.0,,,,,,0.182,0.264,-0.182,2.685,0.169,-0.169,,,,60.0,4.4,-4.4,0.007012,0.000429,-0.00024,3.06646,0.57751,-1.39258,0.82,0.12,-0.12,0.0716,,,89.49,,,948.0,,,191.14,85.18,-59.91,20.4,3.8,-3.8,0.0,0.0,0.2291,0.4603,5.8705406,9.036653,15.2,5,137.0,5.0,0.0797,,,5574.0,111.0,-100.0,4.354,0.132,-0.108,0.12,0.15,-0.15,1.065,0.166,-0.15,0.933,0.067,-0.053,,,,285.72849,42.65453,12.639,13.122,12.586,12.432,12.373,11.421,11.034,10.989,0.153,19.04856,2.1e-05,42.65475,0.00024,-0.26,0.85,0.8,0.87,1e-05,4.7e-05,-5e-05,4.8e-05,-0.36,0.9,0.7,1.3,0.8,1.5,-0.42,0.95,0.5,1.3,0.7,1.5
CANDIDATE,1.0,0,0,0,0,186.4361811,0.000489,-0.000489,146.91825,0.00207,-0.00207,2454979.918,0.00207,-0.00207,0.0,,,,,,0.921,0.024,-0.014,5.774,0.157,-0.157,,,,4347.0,114.0,-114.0,0.075675,0.006964,-0.00613,1.40518,0.08011,-0.42986,11.32,1.8,-3.35,0.6233,,,89.62,,,353.0,,,3.66,1.55,-1.93,137.19,7.8,-7.8,0.0,0.0,0.2286,0.4641,31.873058,59.845184,66.5,1,8.0,1.0,0.7808,,,5393.0,80.0,-64.0,4.132,0.28,-0.12,0.18,0.15,-0.1,1.37,0.218,-0.405,0.926,0.053,-0.048,,,,290.12857,40.021832,15.402,15.957,15.343,15.164,15.071,14.067,13.651,13.639,0.0,19.3419053,5.2e-06,40.021687,5.6e-05,0.0,0.21,-0.52,0.2,0.0009,0.0014,0.0017,0.0016,0.17,0.15,-0.23,0.14,0.29,0.14,0.2,0.15,-0.3,0.15,0.35,0.15
CANDIDATE,1.0,0,0,0,0,26.89316101,1.622e-05,-1.622e-05,179.95245,0.000451,-0.000451,2455012.952,0.000451,-0.000451,0.0,,,,,,0.98,0.122,-0.033,2.3266,0.0379,-0.0379,,,,2193.2,24.3,-24.3,0.068343,0.096944,-0.014568,1.3904,0.78845,-0.43895,6.78,2.14,-0.72,0.1743,,,88.51,,,614.0,,,33.54,31.06,-9.8,37.6,10.7,-10.7,0.0,0.0,0.2965,0.3342,27.222822,121.594765,119.6,1,39.0,1.0,0.4751,,,6096.0,164.0,-183.0,4.511,0.054,-0.216,-0.34,0.3,-0.3,0.908,0.287,-0.096,0.975,0.118,-0.13,,,,297.49216,46.694519,13.754,14.169,13.708,13.576,13.521,12.633,12.335,12.209,0.122,19.8328104,3.2e-06,46.694521,3.3e-05,-0.01,0.12,0.0,0.12,-0.00037,0.00033,-0.0001,0.00039,0.26,0.1,-0.03,0.085,0.26,0.1,0.16,0.11,-0.012,0.084,0.16,0.1
