koi_disposition,koi_score,koi_fpflag_nt,koi_fpflag_ss,koi_fpflag_co,koi_fpflag_ec,koi_period,koi_period_err1,koi_period_err2,koi_time0bk,koi_time0bk_err1,koi_time0bk_err2,koi_time0,koi_time0_err1,koi_time0_err2,koi_eccen,koi_eccen_err1,koi_eccen_err2,koi_longp,koi_longp_err1,koi_longp_err2,koi_impact,koi_impact_err1,koi_impact_err2,koi_duration,koi_duration_err1,koi_duration_err2,koi_ingress,koi_ingress_err1,koi_ingress_err2,koi_depth,koi_depth_err1,koi_depth_err2,koi_ror,koi_ror_err1,koi_ror_err2,koi_srho,koi_srho_err1,koi_srho_err2,koi_prad,koi_prad_err1,koi_prad_err2,koi_sma,koi_sma_err1,koi_sma_err2,koi_incl,koi_incl_err1,koi_incl_err2,koi_teq,koi_teq_err1,koi_teq_err2,koi_insol,koi_insol_err1,koi_insol_err2,koi_dor,koi_dor_err1,koi_dor_err2,koi_ldm_coeff4,koi_ldm_coeff3,koi_ldm_coeff2,koi_ldm_coeff1,koi_max_sngle_ev,koi_max_mult_ev,koi_model_snr,koi_count,koi_num_transits,koi_tce_plnt_num,koi_bin_oedp_sig,koi_model_dof,koi_model_chisq,koi_steff,koi_steff_err1,koi_steff_err2,koi_slogg,koi_slogg_err1,koi_slogg_err2,koi_smet,koi_smet_err1,koi_smet_err2,koi_srad,koi_srad_err1,koi_srad_err2,koi_smass,koi_smass_err1,koi_smass_err2,koi_sage,koi_sage_err1,koi_sage_err2,ra,dec,koi_kepmag,koi_gmag,koi_rmag,koi_imag,koi_zmag,koi_jmag,koi_hmag,koi_kmag,koi_fwm_stat_sig,koi_fwm_sra,koi_fwm_sra_err,koi_fwm_sdec,koi_fwm_sdec_err,koi_fwm_srao,koi_fwm_srao_err,koi_fwm_sdeco,koi_fwm_sdeco_err,koi_fwm_prao,koi_fwm_prao_err,koi_fwm_pdeco,koi_fwm_pdeco_err,koi_dicco_mra,koi_dicco_mra_err,koi_dicco_mdec,koi_dicco_mdec_err,koi_dicco_msky,koi_dicco_msky_err,koi_dikco_mra,koi_dikco_mra_err,koi_dikco_mdec,koi_dikco_mdec_err,koi_dikco_msky,koi_dikco_msky_err
CANDIDATE,0.998,0,0,0,0,4.02745396,2.588e-05,-2.588e-05,133.12194,0.00468,-0.00468,2454966.122,0.00468,-0.00468,0.0,,,,,,0.304,0.152,-0.304,1.33,0.2,-0.2,,,,85.2,9.6,-9.6,0.008577,0.000312,-0.00085,12.86387,37.53133,-6.49001,0.98,0.3,-0.14,0.0494,,,89.22,,,1250.0,,,577.46,536.1,-197.5,22.3,10.8,-10.8,0.0,0.0,0.3058,0.3071,3.2048519,9.801798,10.8,1,332.0,1.0,0.8527,,,6174.0,175.0,-197.0,4.398,0.105,-0.195,-0.28,0.3,-0.3,1.041,0.326,-0.14,0.987,0.147,-0.12,,,,300.6496,44.05574,13.685,14.104,13.647,13.506,13.452,12.627,12.317,12.251,0.138,20.043286,3.3e-05,44.05596,0.00034,-0.8,1.3,0.8,1.2,0.00013,0.00011,-7e-05,0.00011,-1.04,0.72,-0.15,0.63,1.05,0.7,-1.08,0.73,-0.18,0.62,1.1,0.73
CANDIDATE,,0,0,0,0,369.93355,0.02925,-0.02925,175.282,0.0606,-0.0606,2455008.282,0.0606,-0.0606,0.0,,,,,,0.149,0.3159,-0.149,7.6,4.8,-4.8,,,,995.0,206.0,-206.0,0.028954,0.000318,-0.007217,7.49308,0.10822,-6.97049,3.24,1.56,-0.31,1.0371,,,89.95,,,270.0,,,1.25,1.82,-0.37,378.46,5.5,-5.5,0.0,0.0,0.299,0.3328,,,15.8,1,,1.0,,,,6158.0,171.0,-237.0,4.453,0.049,-0.317,-0.08,0.22,-0.3,1.024,0.493,-0.098,1.08,0.232,-0.137,,,,293.96146,42.806419,15.524,16.027,15.495,15.309,15.29,14.37,13.984,13.907,0.0,19.597338,2.4e-05,42.80651,0.00025,-3.66,0.97,0.34,0.91,0.0039,0.001,8e-05,0.001,5.04,0.34,0.37,0.28,5.06,0.34,5.11,0.34,0.59,0.28,5.14,0.34
CANDIDATE,,0,0,0,0,143.163697,0.0024,-0.0024,243.7133,0.0117,-0.0117,2455076.713,0.0117,-0.0117,0.0,,,,,,0.9527,0.0007,-0.6851,4.854,0.43,-0.43,,,,390.3,33.8,-33.8,0.023971,0.000132,-0.007033,0.55812,12.05051,-0.02377,20.03,0.88,-5.29,0.7172,,,89.38,,,741.0,,,71.41,12.97,-39.85,84.6,41.5,-41.5,0.0,0.0,0.1917,0.5193,,,12.9,1,,1.0,,,,5145.0,106.0,-254.0,3.05,0.03,-0.031,0.07,0.17,-0.35,7.653,0.334,-2.023,2.394,0.177,-1.089,,,,297.78833,40.130909,12.644,13.494,12.579,12.279,12.079,10.972,10.432,10.346,0.581,19.852549,1.3e-05,40.13093,0.00014,-0.22,0.53,0.08,0.5,0.00012,0.00022,1e-05,0.00022,0.07,0.46,-0.2,0.49,0.21,0.48,0.13,0.45,-0.29,0.48,0.32,0.48
CANDIDATE,0.176,0,0,0,0,285.374561,0.003498,-0.003498,311.29883,0.00795,-0.00795,2455144.299,0.00795,-0.00795,0.0,,,,,,0.018,0.437,-0.018,4.865,0.324,-0.324,,,,482.3,41.3,-41.3,0.019732,0.001117,-0.001142,22.15039,1.17337,-11.25411,5.94,3.64,-4.46,0.7937,,,90.0,,,423.0,,,7.54,14.0,-7.13,456.9,24.2,-24.2,0.0,0.0,0.236,0.4473,4.734784,7.220403,13.7,1,5.0,1.0,0.6298,,,5142.0,120.0,-180.0,3.47,1.232,-0.308,-0.66,0.25,-0.35,2.756,1.691,-2.067,0.817,0.234,-0.191,,,,295.51764,42.758942,13.863,14.625,13.845,13.537,13.329,12.21,11.702,11.596,0.514,19.701165,2e-05,42.75883,0.0002,-0.4,0.78,-0.4,0.72,0.00024,0.00039,0.00013,0.00037,0.22,0.31,0.1,0.52,0.25,0.36,0.18,0.31,0.03,0.52,0.19,0.31
CANDIDATE,0.975,0,0,0,0,11.1619384,0.0001677,-0.0001677,133.5538,0.013,-0.013,2454966.554,0.013,-0.013,0.0,,,,,,0.739,0.235,-0.532,5.195,0.407,-0.407,,,,124.4,10.9,-10.9,0.011022,0.003832,-0.000893,0.22251,0.47173,-0.21531,1.97,0.34,-0.41,0.1027,,,86.27,,,1093.0,,,337.23,163.6,-142.69,11.36,4.8,-4.8,0.0,0.0,0.303,0.3166,3.3152983,7.976483,13.4,3,114.0,3.0,0.1481,,,6200.0,124.0,-124.0,4.072,0.188,-0.101,-0.06,0.15,-0.15,1.64,0.281,-0.343,1.158,0.14,-0.105,,,,295.21268,49.56218,13.374,13.587,13.303,13.251,13.277,12.455,12.263,12.228,0.572,19.680831,1.7e-05,49.56211,0.00018,-0.5,0.6,-0.25,0.65,4.6e-05,5.5e-05,8e-06,6e-05,0.01,0.27,-0.04,0.43,0.04,0.44,-0.03,0.26,-0.09,0.41,0.1,0.39
CANDIDATE,0.953,0,0,0,0,5.29655591,8.52e-05,-8.52e-05,131.8704,0.0141,-0.0141,2454964.87,0.0141,-0.0141,0.0,,,,,,0.37,0.08,-0.37,3.93,0.315,-0.315,,,,135.4,17.2,-17.2,0.010809,0.000566,-0.001039,0.61616,0.26539,-0.35232,1.3,0.43,-0.15,0.063,,,87.81,,,1156.0,,,421.14,411.8,-140.13,9.7,4.2,-4.2,0.0,0.0,0.3024,0.3288,3.1911178,7.3679533,9.3,1,247.0,1.0,0.762,,,6268.0,173.0,-260.0,4.429,0.054,-0.216,0.07,0.25,-0.3,1.1,0.365,-0.122,1.188,0.158,-0.158,,,,296.82037,49.75045,15.591,16.05,15.538,15.395,15.346,14.438,14.195,13.99,0.14,19.788046,4e-05,49.75017,0.00045,0.8,1.4,-1.0,1.6,-8e-05,0.00019,0.00022,0.00023,1.06,0.96,-0.42,0.82,1.15,0.94,1.0,1.0,-0.41,0.76,1.08,0.94
CANDIDATE,0.525,0,0,0,0,384.37706,0.01284,-0.01284,309.208,0.0175,-0.0175,2455142.208,0.0175,-0.0175,0.0,,,,,,0.901,0.03,-0.629,15.139,0.531,-0.531,,,,1204.9,61.9,-61.9,0.038788,0.003907,-0.007467,0.12904,1.18057,-0.055,50.93,3.15,-8.83,1.2098,,,89.49,,,676.0,,,49.27,8.99,-18.31,100.3,48.3,-48.3,0.0,0.0,0.1561,0.5684,6.4048886,8.551403,22.6,1,3.0,1.0,0.0285,,,4859.0,58.0,-101.0,2.481,0.033,-0.027,-0.46,0.15,-0.15,12.023,0.744,-2.084,1.594,0.213,-0.496,,,,287.59253,48.886459,12.656,13.468,12.611,12.307,12.117,11.031,10.467,10.358,0.286,19.1728365,5e-06,48.886493,4e-05,0.02,0.18,0.12,0.14,0.0,0.00057,0.00017,0.00081,-0.02,0.18,-0.42,0.38,0.42,0.38,-0.02,0.17,-0.26,0.39,0.26,0.39
FALSE POSITIVE,,1,0,0,0,23.9341825,0.0002652,-0.0002652,145.76028,0.00874,-0.00874,2454978.76,0.00874,-0.00874,0.0,,,,,,0.0465,0.4264,-0.0464,1.607,0.243,-0.243,,,,228.1,38.2,-38.2,0.013192,0.001418,-0.001378,50.42487,4.71428,-49.23926,1.03,0.04,-0.08,0.145,,,89.95,,,432.0,,,8.27,1.9,-2.06,115.2,10.8,-10.8,0.0,0.0,0.0757,0.6776,,,6.5,1,,1.0,,,,4415.0,140.0,-134.0,4.58,0.044,-0.018,0.24,0.18,-0.26,0.715,0.03,-0.056,0.708,0.042,-0.051,,,,288.76083,42.554619,14.869,16.013,14.866,14.379,14.116,12.888,12.295,12.184,0.02,19.250752,3.9e-05,42.55409,0.00047,1.2,1.5,-1.9,1.7,-0.00029,0.00038,0.00057,0.00042,1.3,1.1,0.7,1.0,1.5,1.2,1.3,1.2,1.2,1.3,1.8,1.3
FALSE POSITIVE,0.0,0,1,0,0,1.714414962,3.9e-08,-3.9e-08,131.8661453,1.88e-05,-1.88e-05,2454964.866,1.88e-05,-1.88e-05,0.0,,,,,,1.181,0.0,-0.111,5.17207,0.00177,-0.00177,,,,110130.0,10.3,-10.3,0.663777,0.000486,-0.091176,0.22439,0.00052,-0.01909,116.92,34.36,-34.36,0.0304,,,68.8,,,2042.0,,,4099.19,3439.46,-2310.11,3.26683,0.00757,-0.00757,0.0,0.0,0.305,0.3201,1376.9009,14262.637,6485.8,1,792.0,1.0,0.0,,,6351.0,151.0,-208.0,4.126,0.225,-0.184,-0.04,0.25,-0.3,1.613,0.474,-0.474,1.27,0.182,-0.222,,,,291.69095,39.425442,13.309,13.689,13.254,13.147,13.077,12.265,12.042,11.953,0.0,19.446061973,1.2e-08,39.4254449,1.4e-07,-0.08457,0.00051,0.01764,0.0005,-0.0612,0.0046,-0.0267,0.0059,0.162,0.069,0.097,0.067,0.189,0.068,-0.037,0.067,0.049,0.067,0.062,0.067
FALSE POSITIVE,0.0,0,0,1,1,0.933728755,8.982e-06,-8.982e-06,131.54241,0.00942,-0.00942,2454964.542,0.00942,-0.00942,0.0,,,,,,0.645,0.039,-0.494,4.363,0.248,-0.248,,,,13.5,1.0,-1.0,0.00355,1e-05,-0.000322,0.07124,0.05618,-0.00311,0.72,0.2,-0.22,0.0208,,,64.29,,,2777.0,,,14057.75,11618.71,-8330.73,1.486,0.586,-0.586,0.0,0.0,0.318,0.2734,15.203435,10.33584,17.9,1,1444.0,1.0,0.0225,,,6652.0,187.0,-258.0,4.036,0.264,-0.176,-0.16,0.25,-0.3,1.863,0.519,-0.576,1.378,0.186,-0.279,,,,292.83698,47.55394,10.959,11.448,10.989,,,9.989,9.823,9.785,0.0,19.522444,2.3e-05,47.55517,0.00027,-0.8,0.83,4.44,0.97,7.1e-06,6.8e-06,-3.74e-05,7.8e-06,3.06,0.9,-1.5,1.0,3.42,0.99,3.34,0.9,-1.2,1.0,3.55,0.98
FALSE POSITIVE,0.0,0,1,1,0,35.08976902,2.419e-05,-2.419e-05,153.396702,0.00057,-0.00057,2454986.397,0.00057,-0.00057,0.0,,,,,,1.264,1.171,-0.16,3.9623,0.0277,-0.0277,,,,5754.6,40.1,-40.1,0.358269,1.163272,-0.146752,0.58855,0.48024,-0.04733,33.1,8.61,-2.86,0.2055,,,87.85,,,501.0,,,14.95,11.47,-3.91,33.7,13.8,-13.8,0.0,0.0,0.2327,0.4526,64.85807,247.66399,170.8,1,35.0,1.0,0.0,,,5603.0,152.0,-169.0,4.556,0.031,-0.178,-0.04,0.3,-0.3,0.846,0.22,-0.073,0.941,0.085,-0.104,,,,297.01459,42.789169,14.266,14.814,14.186,14.032,13.913,13.009,12.616,12.602,0.0,19.801,1.1e-06,42.787947,1.2e-05,1.109,0.045,-4.404,0.042,-0.01017,0.00046,0.02219,0.00058,1.149,0.069,-3.932,0.075,4.097,0.077,0.833,0.074,-3.887,0.071,3.975,0.073
FALSE POSITIVE,0.0,0,1,0,0,1.953285321,4.67e-07,-4.67e-07,133.1432,0.000193,-0.000193,2454966.143,0.000193,-0.000193,0.0,,,,,,1.312,1.755,-0.151,1.67598,0.00914,-0.00914,,,,1520.3,5.6,-5.6,0.353327,1.73688,-0.145338,0.16685,0.40941,-0.01999,151.56,15.51,-58.15,0.0371,,,66.02,,,2927.0,,,17363.68,6134.9,-11458.57,3.23,1.6,-1.6,0.0,0.0,0.3132,0.2907,11.874817,169.76242,237.7,1,683.0,1.0,0.2805,,,6450.0,176.0,-176.0,3.501,0.36,-0.09,-0.08,0.35,-0.25,3.928,0.402,-1.507,1.782,0.163,-0.381,,,,289.57025,51.125702,13.077,13.379,12.999,12.948,12.883,12.05,11.799,11.692,,19.30468356,9.7e-07,51.125808,1e-05,-0.015,0.033,0.389,0.036,2.5e-05,5.2e-05,,,0.014,0.07,0.118,0.071,0.119,0.071,0.066,0.07,0.111,0.072,0.129,0.072
FALSE POSITIVE,0.0,0,0,1,1,2.52122764,2.407e-05,-2.407e-05,132.86973,0.00778,-0.00778,2454965.87,0.00778,-0.00778,0.0,,,,,,0.298,0.154,-0.298,2.249,0.259,-0.259,,,,127.3,16.8,-16.8,0.010318,0.000588,-0.000982,1.69751,0.37034,-1.04334,0.91,0.2,-0.08,0.035,,,87.94,,,1177.0,,,453.48,293.66,-114.05,8.29,1.8,-1.8,0.0,0.0,0.2396,0.4415,3.3013546,7.8041596,8.9,1,420.0,1.0,0.2767,,,5546.0,149.0,-149.0,4.575,0.036,-0.144,-0.14,0.3,-0.3,0.81,0.176,-0.07,0.907,0.083,-0.102,,,,286.42703,50.4063,15.301,15.863,15.235,15.06,14.929,14.047,13.649,13.578,0.0,19.095145,6e-05,50.40894,0.00053,0.4,2.1,9.5,1.9,1e-05,0.00021,-0.00095,0.0002,3.34,0.78,7.52,0.91,8.2,1.0,3.6,0.84,7.47,0.91,8.3,1.1
FALSE POSITIVE,0.368,0,1,0,0,1.057335679,1.23e-07,-1.23e-07,131.792007,9.61e-05,-9.61e-05,2454964.792,9.61e-05,-9.61e-05,0.0,,,,,,0.262,0.274,-0.113,1.5795,0.0152,-0.0152,,,,47337.0,120.0,-120.0,0.195583,0.008464,-0.001109,3.67338,0.4538,-1.17959,14.59,1.15,-1.28,0.0178,,,87.51,,,1276.0,,,623.51,184.18,-164.28,6.01,0.742,-0.742,0.0,0.0,0.1196,0.6106,367.93436,1942.0485,476.0,1,1263.0,1.0,0.0002,,,4664.0,126.0,-140.0,4.594,0.054,-0.027,-0.2,0.3,-0.3,0.683,0.054,-0.06,0.668,0.082,-0.048,,,,292.18417,49.31004,15.414,16.354,15.368,15.011,14.799,13.628,13.064,12.993,,19.47894103,1.3e-07,49.310042,1.3e-06,-0.1046,0.0046,0.0072,0.0047,,,-0.011,0.014,-0.152,0.067,0.149,0.067,0.213,0.067,0.007,0.067,0.131,0.068,0.131,0.068
FALSE POSITIVE,0.0,0,0,1,1,1.018347376,5.354e-06,-5.354e-06,131.69633,0.00544,-0.00544,2454964.696,0.00544,-0.00544,0.0,,,,,,0.654,0.265,-0.419,4.386,0.146,-0.146,,,,47.8,1.8,-1.8,0.006671,0.001119,-0.000361,0.07112,0.05232,-0.00406,1.92,0.32,-0.59,0.022,,,65.43,,,2832.0,,,15153.38,6743.86,-8279.22,1.574,0.579,-0.579,0.0,0.0,0.2752,0.3811,3.9138443,10.916952,33.3,1,1325.0,1.0,0.92,,,5858.0,87.0,-70.0,3.729,0.224,-0.096,-0.06,0.15,-0.15,2.638,0.441,-0.818,1.358,0.136,-0.252,,,,292.26559,39.129841,12.905,13.336,12.85,12.72,12.687,11.91,11.608,11.552,0.0,19.484485,2.4e-05,39.13172,0.00034,4.74,1.0,6.8,1.2,-8.4e-05,1.7e-05,-0.000118,2.1e-05,2.2,1.1,0.82,0.68,2.35,0.97,2.1,1.1,0.96,0.63,2.34,0.91
FALSE POSITIVE,0.0,0,1,0,0,15.64064161,2.65e-05,-2.65e-05,140.08502,0.00196,-0.00196,2454973.085,0.00196,-0.00196,0.0,,,,,,0.522,0.131,-0.045,6.4524,0.0365,-0.0365,,,,273310.0,2745.0,-2745.0,0.51438,0.054676,-0.023237,1.41349,0.0428,-0.03873,77.18,25.67,-11.85,0.134,,,88.86,,,921.0,,,169.73,166.39,-65.61,26.342,0.798,-0.798,0.0,0.0,0.3138,0.2998,201.78557,764.9111,206.3,1,30.0,1.0,0.0,,,6517.0,180.0,-248.0,4.279,0.09,-0.21,0.14,0.2,-0.35,1.374,0.457,-0.211,1.313,0.185,-0.206,,,,293.61035,39.415089,18.231,18.745,18.149,18.01,,16.761,17.108,16.978,,19.57402587,1.6e-07,39.4159108,2.1e-06,0.0782,0.0066,2.9549,0.0075,0.07,0.73,,,-1.84,0.74,-4.38,0.18,4.75,0.33,-0.127,0.078,0.288,0.069,0.315,0.07
FALSE POSITIVE,0.0,0,0,1,1,16.6094904,0.0001412,-0.0001412,147.61311,0.00715,-0.00715,2454980.613,0.00715,-0.00715,0.0,,,,,,0.631,0.326,-0.422,3.189,0.228,-0.228,,,,272.9,25.4,-25.4,0.015874,7.1e-05,-0.001672,2.17855,2.36625,-2.0756,1.82,0.56,-0.28,0.1274,,,88.86,,,766.0,,,81.28,75.91,-30.81,31.7,11.5,-11.5,0.0,0.0,0.2916,0.3447,4.920979,10.696462,12.7,1,80.0,1.0,0.598,,,6047.0,189.0,-210.0,4.395,0.105,-0.195,-0.16,0.3,-0.3,1.05,0.323,-0.162,0.998,0.156,-0.117,,,,300.43979,43.930729,14.926,15.439,14.888,14.706,14.617,13.702,13.355,13.323,0.0,20.029652,2.9e-05,43.93498,0.00031,12.9,1.1,15.3,1.1,-0.00329,0.00032,-0.00444,0.00032,4.81,0.44,4.75,0.33,6.76,0.5,4.99,0.44,4.42,0.35,6.67,0.52
